V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,support_inequality1,support_inequality2,support_inequality3,support_inequality4,support_inequality5,lvl1,lvl2,lvl3,lvl4,growth1,growth2,growth3,growth4,fix1,fix2,fix3,fix4,fix5,fix6,fix7,bjw1,bjw2,bjw3,bjw4,bjw5,bjw6,bjw7,bjw8,bjw9,bjw10,bjw11,bjw12,bjw13,bjw14,bjw15,bjw16,bjw17,bjw18,redist1,redist2,redist3,redist4,govresp,eq.desire,govresp2,competent,confident,independent,competitive,intelligent,tolerant,warm,goodnatured,sincere,wg1,wg2,wg3,wg4,wg5,emp1,emp2,emp3,emp4,emp5,emp6,pt1,pt2,pt3,free_will1,free_will2,free_will3,free_will4,free_will5,Q26,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,sd10,sd11,sd12,sd13,oc1,oc2,oc3,oc4,oc5,oc6,oc7,oc8,oc9,oc10,oc11,oc12,oc13,oc14,oc15,gender,age,ethnicity,income,ideology,soc.iss,econ.iss,partyID,debrief
R_9mj5LfUOv8A1SMB,Default Response Set,Anonymous,,,74.62.185.1,0,17-07-25 11:38,17-07-25 11:46,1,1,6,5,6,3,3,4,4,6,6,5,5,4,5,4,4,3,3,5,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,3,4,2,2,3,2,3,2,3,3,2,3,2,2,4,6,2,4,4,3,2,1,4,3,3,5,5,5,5,4,1,2,2,2,1,1,2,1,2,1,2,1,1,2,6,2,6,2,6,6,6,6,6,6,6,6,6,3,7,1,68,caucasian,1,3,3,3,1,1
R_6eRb0SsrnhFEQuh,Default Response Set,Anonymous,,,24.44.208.5,0,17-07-25 11:40,17-07-25 11:46,1,1,6,5,3,3,1,3,3,3,6,6,6,3,4,3,3,6,6,2,3,5,4,2,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,3,3,3,3,1,6,4,3,3,3,3,3,3,3,3,3,2,3,2,6,6,4,2,4,4,2,2,2,2,2,6,2,5,6,3,1,1,1,1,1,2,1,2,1,2,2,1,1,2,6,2,5,4,5,6,5,5,2,4,5,4,5,3,5,1,30,caucasian,4,4,4,4,2,1
R_brpFjETK2Cz8GtT,Default Response Set,Anonymous,,,69.147.208.155,0,17-07-25 11:35,17-07-25 11:46,1,1,4,4,5,3,3,2,3,4,5,6,4,3,4,3,4,5,4,4,3,5,4,3,4,3,4,3,4,3,3,4,3,4,3,4,3,4,4,4,3,3,3,3,6,4,3,5,5,5,5,5,5,5,5,5,1,1,1,1,7,1,5,5,5,1,1,4,4,4,7,7,7,7,7,1,2,1,1,2,2,1,1,2,2,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,40,white,7,1,1,2,1,1
R_curksJnbbcbxNid,Default Response Set,Anonymous,,,159.45.129.14,0,17-07-25 11:38,17-07-25 11:46,1,1,7,7,7,1,1,2,1,5,7,5,6,2,6,2,1,3,2,6,2,7,2,2,2,4,4,3,4,2,2,4,2,4,2,4,2,4,4,4,4,4,4,4,5,3,5,4,4,3,3,4,4,4,3,4,6,6,6,6,2,1,4,4,1,1,1,4,4,4,3,3,3,3,3,1,2,1,1,1,2,1,2,1,2,2,1,1,2,7,1,5,4,6,6,7,6,6,5,5,6,5,1,7,2,52,white,15,2,2,4,1,1
R_9LGrQo16RffHVE9,Default Response Set,Anonymous,,,76.122.98.105,0,17-07-25 11:37,17-07-25 11:46,1,1,3,6,5,2,2,7,4,3,5,5,5,6,5,3,5,3,3,4,2,3,4,2,2,4,4,3,4,2,2,4,3,4,3,4,3,3,4,4,3,3,3,3,2,2,3,3,2,2,4,3,2,4,4,4,5,3,5,4,4,2,4,3,2,2,2,3,3,2,6,6,5,7,6,1,1,1,1,1,1,1,1,2,1,2,1,2,2,5,1,4,1,1,6,2,6,1,1,1,7,1,1,5,1,27,White,3,6,6,6,3,1
R_3TRTaAAqBBMACuV,Default Response Set,Anonymous,,,100.16.122.139,0,17-07-25 11:35,17-07-25 11:46,1,1,7,7,7,1,1,1,1,7,7,6,7,1,7,6,6,6,7,1,5,2,1,5,1,4,1,5,1,1,3,1,4,1,3,4,5,1,1,1,4,4,4,4,7,1,5,3,1,1,1,3,3,2,4,4,6,1,7,7,2,4,3,5,1,1,1,4,5,5,7,7,7,7,5,1,1,1,1,2,2,1,2,1,2,2,1,2,2,3,1,1,1,1,7,4,1,1,7,7,1,1,1,7,2,33,usa,3,6,6,6,3,1
R_6mT1Z7JU3SVkh1z,Default Response Set,Anonymous,,,152.26.54.2,0,17-07-25 11:44,17-07-25 11:47,1,1,2,1,1,2,2,4,3,3,4,3,4,4,6,4,4,3,5,3,3,3,3,4,3,2,3,3,2,3,4,3,2,3,3,2,3,4,3,3,3,2,3,2,1,10,1,4,4,4,4,4,3,5,4,3,3,1,2,3,3,3,4,4,2,3,4,3,4,3,4,3,3,5,4,1,2,2,1,1,2,1,1,2,1,1,1,2,2,4,6,4,4,6,5,5,7,6,5,2,5,4,3,4,1,33,USA,7,7,7,7,2,1
R_1Zf2mIK31c4sPK5,Default Response Set,Anonymous,,,46.164.169.85,0,17-07-25 11:38,17-07-25 11:47,1,1,2,2,2,7,6,6,6,1,1,4,2,5,2,4,3,7,6,3,3,5,4,3,4,2,4,3,4,4,3,3,3,4,3,3,2,4,4,3,2,2,2,2,1,10,1,1,2,1,1,2,4,3,3,3,1,3,1,1,7,2,4,4,2,2,1,3,4,2,5,5,5,5,5,1,2,1,1,1,1,1,1,1,1,2,1,1,2,6,2,2,1,6,6,6,5,1,6,6,1,6,1,6,1,30,white,7,5,4,6,3,1
R_a02zGrdy05fV2VT,Default Response Set,Anonymous,,,73.206.59.7,0,17-07-25 11:39,17-07-25 11:47,1,1,7,6,7,1,1,2,1,7,7,2,7,1,6,1,1,6,2,4,1,7,3,3,3,2,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,4,3,4,3,5,2,1,2,2,3,3,3,3,4,1,1,2,1,7,2,4,4,2,1,1,3,2,2,6,6,5,5,5,1,1,2,1,2,1,1,1,1,1,1,1,1,2,6,2,5,1,6,6,2,5,3,2,3,2,2,1,6,1,28,African American,4,1,1,1,1,1
R_cuov5NLKjxcw8Bv,Default Response Set,Anonymous,,,24.101.214.230,0,17-07-25 11:35,17-07-25 11:47,1,1,2,2,2,6,5,2,2,4,6,3,5,2,6,2,2,3,2,4,2,6,2,2,2,2,4,3,4,2,2,2,2,2,2,3,2,4,4,4,2,1,2,4,3,6,1,2,2,2,3,3,2,3,3,3,2,2,2,2,6,2,4,4,2,2,2,2,3,3,4,2,2,3,2,1,1,2,2,2,1,2,1,2,2,1,1,1,1,6,5,5,3,7,7,7,7,6,7,6,6,7,4,7,1,40,White,2,5,2,6,2,1
R_2tJV9edk3gq9bhP,Default Response Set,Anonymous,,,24.140.69.51,0,17-07-25 11:39,17-07-25 11:47,1,1,1,1,1,7,7,6,4,2,4,6,2,2,2,6,6,7,7,1,5,2,4,1,4,4,4,3,4,5,1,4,1,3,1,5,2,4,4,4,1,1,1,1,1,10,1,2,2,3,2,2,3,3,3,3,1,1,1,1,7,2,4,4,3,1,3,4,3,3,5,5,5,5,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,6,1,6,2,4,6,6,6,1,5,4,6,6,1,6,1,50,white,1,6,6,7,3,1
R_0TzDblYlTCVN205,Default Response Set,Anonymous,,,104.178.118.183,0,17-07-25 11:39,17-07-25 11:47,1,1,2,1,1,7,6,6,7,1,1,5,2,6,2,5,6,6,6,1,6,2,4,2,4,3,4,2,4,2,3,4,2,4,5,5,2,4,4,3,1,1,2,2,1,6,1,3,1,1,1,2,2,2,2,2,2,2,2,2,6,2,4,4,5,2,2,4,3,3,6,6,6,6,6,1,2,2,1,2,1,1,1,2,1,2,1,2,1,4,1,3,1,5,5,5,6,4,4,4,6,5,1,6,2,65,Caucasian,2,5,4,7,2,1
R_2bEKDvYBtOGfiDP,Default Response Set,Anonymous,,,96.33.129.200,0,17-07-25 11:34,17-07-25 11:47,1,1,6,5,6,1,1,2,2,5,6,5,6,3,5,3,4,4,3,4,3,3,2,2,2,2,2,4,2,2,2,3,2,2,2,2,2,3,2,3,3,3,4,3,9,5,4,3,2,4,3,3,4,4,3,3,2,2,4,6,5,2,4,5,1,1,1,5,5,5,3,5,3,3,5,1,2,1,2,1,1,2,1,1,1,2,1,2,1,7,6,5,2,6,7,6,7,7,7,7,7,5,2,7,1,44,WHITE,5,5,6,6,3,1
R_1HUDOcw2CW0Z6tv,Default Response Set,Anonymous,,,192.251.189.73,0,17-07-25 11:35,17-07-25 11:47,1,1,6,6,6,2,1,2,2,6,6,6,5,3,5,2,5,5,3,5,3,6,2,3,3,3,3,4,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,8,3,4,3,2,2,3,4,4,3,4,4,2,3,2,2,4,2,4,3,3,2,2,3,2,2,5,6,5,5,5,1,1,1,1,1,2,1,2,1,2,2,1,1,2,4,1,6,1,6,7,4,4,2,7,5,6,6,1,7,1,38,Black,6,4,2,3,2,1
R_bydHrHSwr7XL75H,Default Response Set,Anonymous,,,70.140.24.236,0,17-07-25 11:40,17-07-25 11:47,1,1,5,4,4,3,2,4,4,3,4,3,5,4,5,3,4,4,3,5,3,5,4,4,4,4,4,3,4,3,3,4,4,4,4,3,4,4,3,4,3,3,2,2,1,5,4,4,1,1,1,2,2,3,3,3,2,2,2,2,6,2,2,4,3,2,2,1,2,2,6,6,6,6,4,1,2,2,2,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,6,1,1,1,1,1,1,1,1,6,2,44,white,6,5,5,5,2,1
R_9tB7cfXSTh6NzY9,Default Response Set,Anonymous,,,69.117.181.144,0,17-07-25 11:45,17-07-25 11:47,1,1,3,3,4,4,5,4,6,6,5,3,4,5,4,4,3,5,5,4,4,6,3,3,2,2,3,4,3,4,2,2,1,2,2,3,3,5,4,3,2,1,2,2,9,8,4,2,3,1,2,1,2,3,2,4,6,3,4,5,3,3,1,1,3,4,3,3,2,3,5,2,5,5,4,1,1,1,2,2,1,1,1,2,1,1,2,1,2,3,2,2,1,2,5,4,2,1,2,3,4,4,2,2,1,27,Black,13,7,7,8,2,1
R_0GHi2VExM91nVsN,Default Response Set,Anonymous,,,74.130.98.253,0,17-07-25 11:40,17-07-25 11:47,1,1,7,7,6,1,1,1,1,4,7,4,5,1,4,1,1,4,1,4,1,7,1,2,1,1,3,1,3,1,1,3,1,3,1,2,1,3,3,3,4,4,4,4,9,1,5,3,2,2,3,3,3,3,3,3,1,1,1,1,7,1,5,4,1,1,1,2,2,2,4,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,5,1,6,1,7,7,6,6,4,4,4,4,5,1,6,1,46,white,1,1,1,1,1,1
R_26ohJfmxV2IE5Df,Default Response Set,Anonymous,,,24.255.44.26,0,17-07-25 11:40,17-07-25 11:47,1,1,6,5,7,3,2,1,2,5,6,3,6,2,5,3,2,5,3,4,3,6,4,2,4,1,4,4,3,4,2,3,4,4,1,3,2,4,4,4,4,4,3,3,7,3,4,3,2,2,4,3,3,3,3,4,3,1,3,3,5,2,4,5,1,2,2,3,4,3,5,6,6,7,5,1,2,2,1,2,1,2,1,2,1,1,1,2,1,5,3,6,4,6,7,5,6,6,4,3,5,4,1,6,2,42,White,3,8,8,8,2,1
R_bmcytfSLWHHteJf,Default Response Set,Anonymous,,,64.237.233.37,0,17-07-25 11:44,17-07-25 11:47,1,1,5,6,4,3,5,4,3,5,5,5,6,5,4,6,5,3,5,4,5,3,3,4,2,3,4,2,4,2,3,4,3,2,5,3,2,4,2,4,3,2,3,3,10,7,3,2,3,1,3,2,4,3,4,4,6,3,4,5,6,4,2,3,4,2,4,4,2,3,6,5,4,5,3,1,2,2,1,2,1,2,1,1,1,2,1,1,2,4,5,4,3,4,5,4,3,4,6,5,4,3,4,6,1,30,Puerto Rican,2,1,1,1,2,1
R_cUP8Zv6o9JcJGF7,Default Response Set,Anonymous,,,72.226.17.184,0,17-07-25 11:39,17-07-25 11:47,1,1,6,4,6,2,2,3,2,4,6,6,5,3,6,2,2,5,3,6,3,6,4,4,3,3,4,4,4,1,1,4,2,4,4,4,2,4,3,4,3,4,4,4,5,6,2,4,4,4,5,3,4,3,4,4,1,1,5,4,6,1,5,5,4,1,1,4,4,4,6,5,5,4,3,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,6,7,1,1,1,7,2,25,black,5,3,3,3,2,1
R_6JtMhhxZ84TWbjL,Default Response Set,Anonymous,,,173.46.252.73,0,17-07-25 11:38,17-07-25 11:47,1,1,7,7,7,4,1,3,2,7,7,6,7,2,7,1,7,2,1,7,2,7,4,4,3,5,4,5,4,4,4,4,5,3,4,3,4,4,3,4,4,4,4,4,9,3,5,3,3,3,2,3,4,4,4,4,1,2,7,7,7,2,5,5,1,1,1,5,5,5,5,6,5,6,7,1,2,2,2,2,1,2,1,1,1,1,2,2,2,7,3,7,5,6,7,7,7,7,6,7,2,6,6,7,1,31,white,7,1,1,1,1,1
R_eYgHfncLCAsHlKR,Default Response Set,Anonymous,,,99.30.122.48,0,17-07-25 11:35,17-07-25 11:47,1,1,4,6,6,3,3,6,4,5,4,3,5,4,4,6,5,6,5,5,6,6,4,2,4,4,4,4,3,4,4,3,4,4,3,4,4,3,3,3,3,3,3,3,8,8,4,3,2,2,2,3,2,4,4,4,2,5,6,3,6,2,4,4,4,2,2,4,4,4,3,6,5,6,5,1,2,2,2,2,2,2,1,1,1,2,1,1,2,6,1,2,1,6,6,6,6,1,1,6,6,6,1,6,2,41,Caucasian,6,5,5,5,2,1
R_413jRccZKdp3I4l,Default Response Set,Anonymous,,,68.205.81.224,0,17-07-25 11:38,17-07-25 11:47,1,1,5,6,5,2,2,2,2,2,6,6,6,2,5,3,6,7,5,3,3,5,3,2,3,4,4,4,4,2,2,4,3,3,4,4,3,4,4,4,3,3,3,2,1,5,2,3,1,1,1,3,3,3,1,3,2,2,2,2,6,2,4,4,1,2,1,3,4,4,5,6,6,6,6,1,2,2,2,2,1,2,1,2,1,2,1,2,1,3,7,6,1,2,4,2,1,1,2,3,2,2,1,6,1,64,White American,6,4,4,4,2,1
R_bjyMYgblNl3IYE5,Default Response Set,Anonymous,,,73.180.33.60,0,17-07-25 11:37,17-07-25 11:47,1,1,7,7,7,1,1,1,1,7,7,5,7,1,7,2,2,5,1,2,3,5,1,1,1,1,2,4,2,4,2,2,2,2,2,4,1,2,2,2,4,4,4,4,7,1,5,4,1,5,2,4,4,3,3,3,2,1,2,2,5,4,2,4,4,2,2,2,2,1,5,5,3,5,3,1,1,2,1,1,2,2,1,2,1,2,1,1,2,2,1,3,1,2,4,2,2,1,2,2,3,2,1,2,1,40,white,1,1,1,1,1,1
R_5otmPEuRiMsiWLr,Default Response Set,Anonymous,,,170.72.93.78,0,17-07-25 11:40,17-07-25 11:47,1,1,5,7,5,2,1,1,2,4,6,7,7,1,7,2,3,6,3,1,3,6,4,4,4,5,4,4,4,4,4,5,3,3,4,3,5,5,5,5,4,4,3,4,5,3,4,3,4,4,4,3,3,4,4,3,2,2,6,4,6,3,4,5,2,1,1,4,5,5,7,7,7,7,7,1,1,2,2,2,1,1,1,2,1,1,2,2,1,5,1,3,1,6,6,5,5,6,6,6,1,5,1,5,1,26,Hispanic,1,3,3,3,1,1
R_0voW6KCrWTy0R6d,Default Response Set,Anonymous,,,207.244.83.209,0,17-07-25 11:38,17-07-25 11:47,1,1,7,7,7,1,1,1,1,1,7,7,7,1,7,1,1,1,1,7,1,7,1,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,10,2,5,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,4,5,1,1,1,2,5,2,1,7,1,1,7,1,1,1,1,1,1,1,2,1,1,2,1,1,2,7,7,7,4,7,7,7,7,7,7,4,4,7,7,7,1,32,black,3,1,1,1,2,1
R_bQnnt6J8Ky3YCH3,Default Response Set,Anonymous,,,108.24.166.213,0,17-07-25 11:43,17-07-25 11:47,1,1,3,5,5,3,3,3,3,6,6,3,6,3,6,5,5,6,5,3,3,3,4,4,4,2,4,2,4,2,2,2,4,3,3,4,5,3,2,2,3,3,2,3,7,6,4,2,2,2,2,2,2,2,2,2,2,6,2,2,3,2,4,4,2,2,2,4,4,4,5,5,5,5,5,1,1,1,1,2,2,1,1,1,1,1,2,2,2,6,5,5,5,5,5,5,5,5,5,3,2,5,5,5,1,23,caucasion,8,2,2,5,1,1
R_9EICwEkkAagj0ih,Default Response Set,Anonymous,,,184.3.227.90,0,17-07-25 11:37,17-07-25 11:47,1,1,2,4,4,6,3,3,2,4,6,5,4,3,2,5,4,7,5,2,5,3,4,3,3,2,3,4,2,1,1,3,2,3,2,1,1,3,2,3,4,2,4,2,3,2,3,3,2,3,3,4,2,3,4,4,1,1,1,1,7,5,2,5,2,2,1,5,5,5,4,3,3,5,5,1,1,1,1,1,2,2,2,1,2,1,2,1,2,2,1,4,1,4,7,2,7,1,4,3,2,1,1,4,2,52,white,5,3,3,4,2,1
R_08LGKxcapTFfDXT,Default Response Set,Anonymous,,,73.175.209.47,0,17-07-25 11:37,17-07-25 11:48,1,1,4,5,6,3,2,2,3,5,5,5,6,2,6,3,2,4,4,3,3,5,3,2,3,3,3,4,4,3,2,3,3,4,2,2,2,3,4,3,4,4,3,3,4,5,4,3,2,4,2,3,4,4,4,4,2,2,3,6,4,2,4,4,1,1,1,4,4,3,5,6,5,5,4,1,2,1,1,1,1,1,1,2,1,2,1,1,2,6,1,7,2,5,5,5,5,7,4,4,5,4,2,6,1,32,Caucasian,5,3,2,3,1,1
R_benCu4P6uPckCfr,Default Response Set,Anonymous,,,116.106.53.162,0,17-07-25 11:42,17-07-25 11:48,1,1,4,4,4,5,4,3,4,4,5,4,5,3,4,3,4,5,4,5,4,4,3,4,3,3,2,4,2,3,4,2,4,3,3,2,4,2,2,3,3,2,3,2,5,6,3,3,3,3,3,3,3,3,3,3,2,1,2,2,6,2,3,3,2,3,2,2,2,2,5,6,6,5,6,1,2,1,2,2,2,2,1,1,1,2,2,2,1,5,5,5,3,2,6,5,5,5,6,6,5,6,5,6,1,31,"southeast asian, vietnamese",15,5,4,5,3,1
R_3ygGoSidMg0oY7P,Default Response Set,Anonymous,,,205.174.28.154,0,17-07-25 11:38,17-07-25 11:48,1,1,6,5,5,3,2,1,3,6,5,4,4,3,4,2,3,6,5,3,2,5,4,2,2,2,4,3,4,2,2,4,2,4,4,4,2,4,3,4,3,2,3,2,1,5,3,3,2,1,1,3,2,3,3,3,5,5,5,5,4,2,4,4,2,2,2,4,5,5,5,5,2,7,6,1,1,2,1,2,1,2,1,2,1,1,2,2,2,3,1,3,3,5,6,6,6,5,5,5,5,5,2,6,2,34,Caucasian,8,4,3,5,4,1
R_25WyFh7cX5Gcm7H,Default Response Set,Anonymous,,,69.128.33.229,0,17-07-25 11:41,17-07-25 11:48,1,1,7,6,5,6,1,3,1,5,7,6,4,4,7,3,6,7,3,2,1,6,4,5,4,5,5,4,3,4,2,3,4,3,2,4,5,3,4,5,3,4,2,4,8,1,4,3,2,4,2,3,4,3,3,3,2,2,6,5,7,3,4,5,3,4,5,2,4,3,7,6,5,7,6,1,1,2,1,2,2,1,1,2,1,1,1,1,1,6,3,6,6,5,7,7,7,5,3,2,5,4,2,6,1,21,pacific islander,10,4,4,4,2,1
R_e4jIt4s0uaz3ZGt,Default Response Set,Anonymous,,,71.163.153.23,0,17-07-25 11:41,17-07-25 11:48,1,1,3,5,1,3,3,2,3,5,6,2,6,2,4,1,1,7,7,6,1,7,1,1,1,1,3,3,3,1,1,3,1,2,1,3,1,3,1,3,3,3,3,3,4,4,4,2,1,2,2,2,3,3,3,3,5,1,5,7,5,2,4,4,1,3,1,2,3,3,4,5,2,3,5,1,2,1,1,2,2,2,2,2,1,2,1,1,1,7,1,7,1,6,7,7,7,7,6,6,7,7,1,7,1,40,Asian,12,4,3,5,3,1
R_bsybqb8KOdi6E8R,Default Response Set,Anonymous,,,68.35.27.130,0,17-07-25 11:36,17-07-25 11:48,1,1,7,7,7,1,1,2,1,6,7,2,7,1,6,1,1,2,1,4,1,7,2,3,2,3,3,4,3,2,3,3,3,3,3,2,3,3,3,3,4,4,4,4,8,1,5,4,3,3,4,4,3,4,4,4,5,2,6,6,4,2,4,4,2,2,2,4,4,4,5,6,5,7,6,1,2,2,2,1,1,2,1,2,1,2,2,2,2,6,2,4,4,5,6,5,2,6,6,6,6,4,4,6,1,39,Black,4,1,1,1,2,1
R_bDHfOg7Q6Cw4sex,Default Response Set,Anonymous,,,73.85.206.148,0,17-07-25 11:36,17-07-25 11:48,1,1,5,4,5,2,3,5,4,5,5,6,4,4,5,3,5,5,7,1,3,4,4,5,4,3,3,2,4,2,3,5,2,3,4,4,3,3,5,4,3,3,3,3,5,4,4,3,4,4,3,2,4,4,5,4,1,4,4,1,6,2,4,4,3,1,1,3,2,1,5,7,3,6,5,1,1,2,1,2,1,1,1,2,2,1,2,2,2,3,1,3,2,3,5,4,3,3,3,3,5,4,1,6,1,38,Black,5,5,5,5,1,1
R_2hksoZfvCtKVgMZ,Default Response Set,Anonymous,,,104.2.203.136,0,17-07-25 11:39,17-07-25 11:48,1,1,7,7,7,1,1,2,1,7,7,5,6,1,7,1,6,4,2,5,1,6,2,1,2,4,3,4,4,2,2,4,2,3,2,4,1,4,3,4,4,4,3,3,5,2,4,4,2,3,3,4,3,3,3,2,5,1,2,6,7,1,4,4,1,1,1,5,5,2,3,3,2,5,4,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,3,4,1,6,1,1,4,3,2,1,1,1,7,2,26,African-American,3,2,2,2,1,1
R_blUJ3I1oOL0fBMV,Default Response Set,Anonymous,,,108.92.36.152,0,17-07-25 11:40,17-07-25 11:48,1,1,1,1,1,7,7,4,4,2,4,5,4,4,4,6,6,6,6,2,6,3,4,1,4,4,4,4,4,4,3,4,3,4,4,1,4,4,4,4,1,1,1,1,1,8,1,2,2,2,2,2,3,3,3,3,1,1,1,1,7,2,4,4,2,1,1,2,3,3,6,6,6,6,6,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,5,5,1,1,4,1,4,1,6,2,34,white,10,7,6,7,3,1
R_dfZkG9tCpN7LQb3,Default Response Set,Anonymous,,,76.203.249.88,0,17-07-25 11:38,17-07-25 11:48,1,1,3,4,3,5,4,5,5,2,2,4,2,4,2,6,5,6,5,4,5,4,4,2,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,6,1,1,1,1,1,1,2,1,2,2,2,1,1,1,6,1,4,3,2,1,1,2,2,2,5,5,5,5,5,1,2,1,1,2,1,2,2,1,1,2,1,1,2,7,7,7,1,7,7,7,7,1,7,7,7,7,1,7,1,42,white,6,5,6,6,3,1
R_0ieGn4kaYWA9p1X,Default Response Set,Anonymous,,,65.188.60.130,0,17-07-25 11:40,17-07-25 11:48,1,1,7,6,7,1,1,2,7,6,7,4,6,1,7,2,2,5,3,6,2,6,2,2,2,2,2,4,2,3,2,2,2,3,3,2,2,2,2,3,4,4,4,4,10,1,5,4,4,4,1,4,4,4,4,4,6,1,6,6,6,2,4,4,2,1,1,5,5,5,3,6,3,3,6,1,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,7,1,5,6,6,5,6,4,4,6,6,1,7,2,29,white,1,2,2,2,1,1
R_9otl0tOCWJTaFRr,Default Response Set,Anonymous,,,173.216.96.224,0,17-07-25 11:35,17-07-25 11:48,1,1,3,3,3,5,5,3,4,3,4,6,3,2,4,3,3,5,5,6,3,5,2,4,3,3,3,3,3,2,4,3,4,3,3,3,3,3,3,3,3,3,2,2,7,6,2,3,1,2,2,3,3,2,2,3,4,4,5,4,4,3,3,4,1,2,1,4,3,3,5,6,5,5,5,1,1,2,1,1,1,2,1,2,1,2,2,2,1,2,1,3,2,5,6,2,1,2,1,3,5,5,1,6,2,53,White,2,6,6,6,3,1
R_1SajbnxybZkkFWB,Default Response Set,Anonymous,,,162.192.91.126,0,17-07-25 11:37,17-07-25 11:48,1,1,6,5,7,2,1,5,2,2,5,5,5,2,5,2,2,3,2,5,2,6,4,5,2,3,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,7,4,4,4,2,3,3,4,4,4,4,4,2,1,2,3,6,2,4,5,2,1,2,3,3,3,6,6,5,6,6,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,4,4,1,5,6,1,1,4,5,3,4,1,7,2,39,Balck,3,2,2,2,1,1
R_doIPHiNErwBPjAp,Default Response Set,Anonymous,,,65.94.235.143,0,17-07-25 11:40,17-07-25 11:48,1,1,7,7,7,1,1,3,1,5,7,3,2,4,2,1,2,5,1,2,2,7,3,2,2,2,4,3,3,1,1,3,2,3,2,4,2,4,3,4,4,4,4,4,10,1,5,3,3,3,3,3,3,3,3,3,6,5,6,6,2,2,4,4,1,2,1,4,3,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,3,2,5,2,5,6,6,6,3,4,4,4,6,2,6,2,29,White,3,2,2,2,1,1
R_bqiHN30ygdENfsV,Default Response Set,Anonymous,,,110.54.209.175,0,17-07-25 11:44,17-07-25 11:48,1,1,6,6,5,6,5,5,4,4,5,6,5,5,4,2,3,3,1,2,1,2,4,4,4,5,3,4,4,3,3,5,4,4,3,4,3,4,4,5,3,4,2,3,9,7,4,4,3,5,5,4,4,5,5,4,6,7,6,7,6,2,1,2,2,1,2,4,5,5,5,4,4,5,5,1,1,2,1,2,1,1,1,1,1,2,2,2,1,6,5,5,4,3,3,5,5,4,3,6,5,4,3,5,2,28,AMERICAN,2,1,1,2,2,1
R_02sr1lm90jLR7Br,Default Response Set,Anonymous,,,70.184.71.154,0,17-07-25 11:42,17-07-25 11:48,1,1,7,5,7,1,1,1,1,6,7,4,1,1,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,6,1,5,2,1,1,1,2,3,3,3,3,1,1,4,6,6,4,2,4,3,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,7,1,7,1,7,7,7,7,7,7,7,7,7,2,7,1,40,White,5,1,1,1,1,1
R_00x23tBBvllbFyt,Default Response Set,Anonymous,,,72.35.150.188,0,17-07-25 11:43,17-07-25 11:48,1,1,7,7,7,1,1,2,2,5,7,2,6,2,4,2,2,5,2,3,2,6,2,2,2,2,4,4,3,3,2,4,2,2,4,3,2,3,3,4,4,4,3,3,8,3,4,4,4,5,4,4,5,4,4,5,6,6,5,6,2,2,4,5,2,2,1,4,4,3,6,6,3,5,5,1,1,1,2,2,1,2,1,1,1,2,1,1,2,7,2,7,6,5,7,7,7,6,6,6,6,7,2,7,2,22,White,15,1,1,2,1,1
R_eesBtDibT6upS4J,Default Response Set,Anonymous,,,108.131.55.174,0,17-07-25 11:42,17-07-25 11:48,1,1,5,6,6,2,2,3,3,4,5,6,4,3,4,4,4,4,4,4,4,4,4,2,3,3,4,4,3,3,3,4,3,4,3,2,3,4,4,4,3,3,3,3,8,1,4,4,3,2,2,4,3,4,4,4,4,2,5,4,4,2,3,4,2,2,2,3,4,4,6,6,5,6,6,1,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,4,1,4,1,1,4,1,4,1,4,2,44,american white,6,2,2,2,1,1
