V4,V5,C_ALPHAN,V32
AR-Argentina,AR-Argentina,AR,Strongly agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Neither agree nor disagree
AU-Australia,AU-Australia,AU,Agree
AT-Austria,AT-Austria,AT,Neither agree nor disagree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Disagree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Neither agree nor disagree
CN-China,CN-China,CN,Neither agree nor disagree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Agree
EE-Estonia,EE-Estonia,EE,Agree
FR-France,FR-France,FR,Strongly agree
FR-France,FR-France,FR,Strongly agree
DE-W-Germany-West,DE-Germany,DE-W,Strongly agree
DE-W-Germany-West,DE-Germany,DE-W,Agree
DE-W-Germany-West,DE-Germany,DE-W,Strongly agree
DE-W-Germany-West,DE-Germany,DE-W,Strongly agree
DE-W-Germany-West,DE-Germany,DE-W,Strongly agree
DE-E-Germany-East,DE-Germany,DE-E,Strongly agree
DE-E-Germany-East,DE-Germany,DE-E,Strongly agree
HU-Hungary,HU-Hungary,HU,Strongly agree
HU-Hungary,HU-Hungary,HU,Strongly agree
HU-Hungary,HU-Hungary,HU,Strongly agree
HU-Hungary,HU-Hungary,HU,Strongly agree
HU-Hungary,HU-Hungary,HU,Strongly agree
HU-Hungary,HU-Hungary,HU,Strongly agree
HU-Hungary,HU-Hungary,HU,Agree
IL-Israel,IL-Israel,IL,Agree
JP-Japan,JP-Japan,JP,Strongly agree
JP-Japan,JP-Japan,JP,Neither agree nor disagree
JP-Japan,JP-Japan,JP,Neither agree nor disagree
JP-Japan,JP-Japan,JP,Strongly agree
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Strongly agree
NZ-New Zealand,NZ-New Zealand,NZ,Agree
NZ-New Zealand,NZ-New Zealand,NZ,Agree
NZ-New Zealand,NZ-New Zealand,NZ,Agree
NO-Norway,NO-Norway,NO,Agree
NO-Norway,NO-Norway,NO,Agree
NO-Norway,NO-Norway,NO,Agree
NO-Norway,NO-Norway,NO,Disagree
PL-Poland,PL-Poland,PL,Neither agree nor disagree
PL-Poland,PL-Poland,PL,Agree
PL-Poland,PL-Poland,PL,Strongly agree
PL-Poland,PL-Poland,PL,Disagree
PL-Poland,PL-Poland,PL,Neither agree nor disagree
PL-Poland,PL-Poland,PL,Agree
PL-Poland,PL-Poland,PL,Agree
PL-Poland,PL-Poland,PL,Strongly agree
PT-Portugal,PT-Portugal,PT,Strongly agree
RU-Russia,RU-Russia,RU,Agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
SI-Slovenia,SI-Slovenia,SI,Strongly agree
SI-Slovenia,SI-Slovenia,SI,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Neither agree nor disagree
ZA-South Africa,ZA-South Africa,ZA,Strongly disagree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Strongly disagree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ES-Spain,ES-Spain,ES,Strongly agree
ES-Spain,ES-Spain,ES,Agree
ES-Spain,ES-Spain,ES,Agree
SE-Sweden,SE-Sweden,SE,Strongly agree
CH-Switzerland,CH-Switzerland,CH,Strongly agree
CH-Switzerland,CH-Switzerland,CH,Strongly agree
CH-Switzerland,CH-Switzerland,CH,Agree
CH-Switzerland,CH-Switzerland,CH,Strongly agree
CH-Switzerland,CH-Switzerland,CH,Agree
TR-Turkey,TR-Turkey,TR,Agree
UA-Ukraine,UA-Ukraine,UA,Strongly agree
UA-Ukraine,UA-Ukraine,UA,Strongly agree
UA-Ukraine,UA-Ukraine,UA,Strongly agree
UA-Ukraine,UA-Ukraine,UA,Strongly agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Neither agree nor disagree
US-United States,US-United States,US,Neither agree nor disagree
US-United States,US-United States,US,Strongly agree
US-United States,US-United States,US,Strongly agree
US-United States,US-United States,US,Agree
VE-Venezuela,VE-Venezuela,VE,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
US-United States,US-United States,US,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Agree
LV-Latvia,LV-Latvia,LV,Strongly agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Disagree
CL-Chile,CL-Chile,CL,Agree
TW-Taiwan,TW-Taiwan,TW,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Strongly agree
FI-Finland,FI-Finland,FI,Disagree
FI-Finland,FI-Finland,FI,Agree
FI-Finland,FI-Finland,FI,Neither agree nor disagree
DE-W-Germany-West,DE-Germany,DE-W,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Neither agree nor disagree
KR-South Korea,KR-South Korea,KR,Strongly agree
LV-Latvia,LV-Latvia,LV,Strongly agree
NZ-New Zealand,NZ-New Zealand,NZ,Strongly agree
NZ-New Zealand,NZ-New Zealand,NZ,Agree
PL-Poland,PL-Poland,PL,Strongly agree
PT-Portugal,PT-Portugal,PT,Agree
PT-Portugal,PT-Portugal,PT,Strongly agree
SI-Slovenia,SI-Slovenia,SI,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
SE-Sweden,SE-Sweden,SE,Agree
CH-Switzerland,CH-Switzerland,CH,Agree
CH-Switzerland,CH-Switzerland,CH,Agree
CH-Switzerland,CH-Switzerland,CH,Agree
CH-Switzerland,CH-Switzerland,CH,Agree
CH-Switzerland,CH-Switzerland,CH,Agree
US-United States,US-United States,US,Neither agree nor disagree
US-United States,US-United States,US,Agree
ZA-South Africa,ZA-South Africa,ZA,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Disagree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
EE-Estonia,EE-Estonia,EE,Agree
FI-Finland,FI-Finland,FI,Disagree
IT-Italy,IT-Italy,IT,Strongly agree
UA-Ukraine,UA-Ukraine,UA,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly agree
FR-France,FR-France,FR,Agree
FR-France,FR-France,FR,Strongly agree
DE-E-Germany-East,DE-Germany,DE-E,Strongly agree
NZ-New Zealand,NZ-New Zealand,NZ,Agree
SI-Slovenia,SI-Slovenia,SI,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
TR-Turkey,TR-Turkey,TR,Agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Cant choose
AU-Australia,AU-Australia,AU,Neither agree nor disagree
AU-Australia,AU-Australia,AU,Agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DE-W-Germany-West,DE-Germany,DE-W,Agree
DE-E-Germany-East,DE-Germany,DE-E,Strongly agree
HU-Hungary,HU-Hungary,HU,Strongly agree
HU-Hungary,HU-Hungary,HU,Strongly agree
NZ-New Zealand,NZ-New Zealand,NZ,Agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
SI-Slovenia,SI-Slovenia,SI,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ES-Spain,ES-Spain,ES,Strongly agree
ES-Spain,ES-Spain,ES,Strongly agree
SE-Sweden,SE-Sweden,SE,Strongly agree
CH-Switzerland,CH-Switzerland,CH,Strongly agree
UA-Ukraine,UA-Ukraine,UA,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
HU-Hungary,HU-Hungary,HU,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
NZ-New Zealand,NZ-New Zealand,NZ,Agree
PT-Portugal,PT-Portugal,PT,Strongly agree
RU-Russia,RU-Russia,RU,Agree
FR-France,FR-France,FR,Strongly agree
IT-Italy,IT-Italy,IT,Agree
CL-Chile,CL-Chile,CL,Agree
FR-France,FR-France,FR,Neither agree nor disagree
JP-Japan,JP-Japan,JP,Disagree
LV-Latvia,LV-Latvia,LV,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AU-Australia,AU-Australia,AU,Neither agree nor disagree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Strongly disagree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Strongly disagree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Neither agree nor disagree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Cant choose
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Neither agree nor disagree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Neither agree nor disagree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Neither agree nor disagree
AU-Australia,AU-Australia,AU,NA
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Neither agree nor disagree
AU-Australia,AU-Australia,AU,Neither agree nor disagree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Disagree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Disagree
AT-Austria,AT-Austria,AT,Disagree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Neither agree nor disagree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Neither agree nor disagree
AT-Austria,AT-Austria,AT,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Neither agree nor disagree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Neither agree nor disagree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
CL-Chile,CL-Chile,CL,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Disagree
CL-Chile,CL-Chile,CL,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Disagree
CL-Chile,CL-Chile,CL,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Neither agree nor disagree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Disagree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Neither agree nor disagree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Disagree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Neither agree nor disagree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly disagree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Disagree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Disagree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Disagree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Disagree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Disagree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
